Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Pinsor,"Revolutionary Ridge Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116106444/pinsor,3.0,-1,Boulder,V5-,1,11,40.02702,-75.19416
"Wissahickon Hermit Boulder","Wissahickon Hermit Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/115390662/wissahickon-hermit-boulder,2.5,-1,Boulder,V1,1,15,40.02842,-75.19825
Potpourri,"Devil's Pool Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120153795/potpourri,4.0,-1,Boulder,V2+,1,15,40.05154,-75.21479
Wrastlin',"Devil's Pool Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116112989/wrastlin,2.5,-1,Boulder,"V3 PG13",1,15,40.05154,-75.21479
"""Unknown Herb""","Devil's Pool Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120153876/unknown-herb,3.0,-1,Boulder,V4-,1,15,40.05154,-75.21479
"Unknown Undercling","Devil's Pool Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120153853/unknown-undercling,4.0,-1,Boulder,V6+,1,15,40.05154,-75.21479
"Shouting at the devil","Devil's Pool Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120153827/shouting-at-the-devil,2.0,-1,Boulder,V7,1,15,40.05154,-75.21479
"Up schist creek","Gorgas Creek Cave > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116620809/up-schist-creek,3.0,-1,Boulder,V0,1,,40.04363,-75.21309
"Hips and nips","Gorgas Creek Cave > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116625263/hips-and-nips,3.0,-1,Boulder,V1,1,,40.04363,-75.21309
"Double Rainbow","Gorgas Creek Cave > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119359690/double-rainbow,2.0,-1,Boulder,V1,1,15,40.04363,-75.21309
Wu-han,"Gorgas Creek Cave > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118755973/wu-han,2.0,-1,Boulder,V2,1,12,40.04363,-75.21309
"Log Lady","The Peak Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116841218/log-lady,3.0,-1,Boulder,V1+,1,,40.05755,-75.21799
Rifle,"The Peak Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116841254/rifle,3.0,-1,Boulder,V3,1,,40.05755,-75.21799
Rampage,"The Peak Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119008666/rampage,4.0,-1,Boulder,"V3 R",1,15,40.05755,-75.21799
"All Toads Go To Heaven","The Cubicle Area > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116845445/all-toads-go-to-heaven,0.0,-1,Boulder,V-easy,1,,40.0578,-75.21827
"The Dirty Betsy","The Cubicle Area > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119527878/the-dirty-betsy,1.0,-1,Boulder,V0-,1,,40.0578,-75.21827
"The Cubicle","The Cubicle Area > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116841441/the-cubicle,2.0,-1,Boulder,V0,1,,40.0578,-75.21827
"Lite green lichen","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120049490/lite-green-lichen,2.0,-1,Boulder,V0,1,12,40.05817,-75.21897
Ollivander's,"The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116841936/ollivanders,1.5,-1,Boulder,V0,1,,40.05817,-75.21897
"Kirlian Auras","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116842282/kirlian-auras,1.0,-1,Boulder,V1,1,,40.05817,-75.21897
"Rip Torn","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118158407/rip-torn,2.0,-1,Boulder,V1,1,,40.05817,-75.21897
"Lotza Lichen","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/121166741/lotza-lichen,2.0,-1,Boulder,V1,1,,40.05817,-75.21897
"Lichen variation","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120150307/lichen-variation,2.5,-1,Boulder,V1+,1,12,40.05817,-75.21897
